t;teta(t);wr(t);erreur;pwm
0;0.00;0.00;180.00;0.00
50000;0.00;0.00;180.00;255.00
100000;0.00;310.17;180.00;255.00
150000;15.51;646.18;164.49;255.00
200000;47.82;775.41;132.18;255.00
250000;86.59;827.11;93.41;255.00
300000;127.94;852.95;52.06;255.00
350000;170.59;861.57;9.41;255.00
400000;213.67;-861.57;-33.67;255.00
450000;170.59;336.01;9.41;255.00
500000;187.39;232.62;-7.39;255.00
550000;199.02;611.71;-19.02;255.00
600000;229.61;-766.80;-49.61;255.00
650000;191.27;292.93;-11.27;255.00
700000;205.92;-206.78;-25.92;255.00
750000;195.58;198.16;-15.58;255.00
800000;205.48;-198.16;-25.48;255.00
850000;195.58;198.16;-15.58;255.00
900000;205.48;-198.16;-25.48;255.00
950000;195.58;198.16;-15.58;255.00
1000004;205.48;-198.16;-25.48;255.00
1050004;195.58;206.78;-15.58;255.00
1100004;205.92;-198.16;-25.92;255.00
1150004;196.01;206.78;-16.01;255.00
1200004;206.35;-198.16;-26.35;255.00
1250004;196.44;206.78;-16.44;255.00
1300004;206.78;-198.16;-26.78;255.00
1350004;196.87;-206.78;-16.87;255.00
1400004;186.53;560.02;-6.53;255.00
1450004;214.53;-241.24;-34.53;255.00
1500004;202.47;-224.01;-22.47;255.00
1550004;191.27;603.10;-11.27;255.00
1600004;221.42;-249.86;-41.42;255.00
1650004;208.93;-224.01;-28.93;255.00
1700004;197.73;-611.71;-17.73;255.00
1750004;167.14;775.41;12.86;255.00
1800004;205.92;-301.55;-25.92;255.00
1850008;190.84;-249.86;-10.84;255.00
1900008;178.35;620.33;1.65;255.00
1950008;209.36;-258.47;-29.36;255.00
2000008;196.44;-215.39;-16.44;255.00
2050008;185.67;594.48;-5.67;255.00
2100008;215.39;-249.86;-35.39;255.00
2150008;202.90;-224.01;-22.90;255.00
2200008;191.70;-611.71;-11.70;255.00
2250008;161.11;758.18;18.89;255.00
2300008;199.02;-292.93;-19.02;255.00
2350008;184.38;-232.62;-4.38;255.00
2400008;172.74;603.10;7.26;255.00
2450012;202.90;-258.47;-22.90;255.00
2500012;189.98;-215.39;-9.98;255.00
2550012;179.21;594.48;0.79;255.00
2600012;208.93;-258.47;-28.93;255.00
2650012;196.01;-215.39;-16.01;255.00
2700012;185.24;-611.71;-5.24;255.00
2750012;154.65;758.18;25.35;255.00
2800012;192.56;-292.93;-12.56;255.00
2850012;177.91;224.01;2.09;255.00
2900012;189.11;-189.55;-9.11;255.00
2950012;179.64;189.55;0.36;255.00
