t;teta(t);wr(t);erreur;pwm
0;0.00;0.00;180.00;0.00
50000;0.00;0.00;180.00;255.00
100000;0.00;112.00;180.00;255.00
150000;5.60;241.24;174.40;255.00
200000;17.66;318.78;162.34;255.00
250000;33.60;284.32;146.40;255.00
300000;47.82;301.55;132.18;255.00
350000;62.89;318.78;117.11;255.00
400000;78.83;353.24;101.17;255.00
450000;96.50;361.86;83.50;255.00
500000;114.59;327.40;65.41;255.00
550000;130.96;353.24;49.04;255.00
600000;148.62;318.78;31.38;255.00
650000;164.56;336.01;15.44;255.00
700000;181.36;344.63;-1.36;255.00
750000;198.59;379.09;-18.59;255.00
800000;217.55;387.71;-37.55;255.00
850000;236.93;-396.32;-56.93;255.00
900000;217.12;112.00;-37.12;255.00
950000;222.72;94.77;-42.72;255.00
1000000;227.45;-241.24;-47.45;255.00
1050000;215.39;94.77;-35.39;255.00
1100000;220.13;103.39;-40.13;255.00
1150000;225.30;-258.47;-45.30;255.00
1200000;212.38;94.77;-32.38;255.00
1250000;217.12;103.39;-37.12;255.00
1300000;222.29;-267.09;-42.29;255.00
1350000;208.93;137.85;-28.93;255.00
1400000;215.82;-103.39;-35.82;255.00
1450000;210.65;94.77;-30.65;255.00
1500000;215.39;-86.16;-35.39;255.00
1550000;211.08;-68.93;-31.08;255.00
1600000;207.64;189.55;-27.64;255.00
1650000;217.12;-103.39;-37.12;255.00
1700000;211.95;-112.00;-31.95;255.00
1750000;206.35;-241.24;-26.35;255.00
1800000;194.28;344.63;-14.28;255.00
1850000;211.52;-129.24;-31.52;255.00
1900000;205.05;-120.62;-25.05;255.00
1950000;199.02;267.09;-19.02;255.00
2000000;212.38;-77.54;-32.38;255.00
2050000;208.50;-68.93;-28.50;255.00
2100000;205.05;-284.32;-25.05;255.00
2150000;190.84;310.17;-10.84;255.00
2200000;206.35;-112.00;-26.35;255.00
2250000;200.75;-137.85;-20.75;255.00
2300000;193.85;267.09;-13.85;255.00
2350000;207.21;-68.93;-27.21;255.00
2400000;203.76;-60.31;-23.76;255.00
2450000;200.75;-284.32;-20.75;255.00
2500000;186.53;310.17;-6.53;255.00
2550000;202.04;-112.00;-22.04;255.00
2600000;196.44;-112.00;-16.44;255.00
2650000;190.84;310.17;-10.84;255.00
2700000;206.35;-60.31;-26.35;255.00
2750000;203.33;-112.00;-23.33;255.00
2800000;197.73;-241.24;-17.73;255.00
2850000;185.67;327.40;-5.67;255.00
2900000;202.04;-86.16;-22.04;255.00
2950000;197.73;-120.62;-17.73;255.00
