t;w(t)
0;0.0
50000;15.71
100000;31.415
150000;37.305
200000;39.27
250000;40.58
300000;41.235
350000;40.58
400000;41.235
450000;41.89
500000;41.89
550000;41.89
600000;41.235
650000;41.235
700000;41.235
750000;40.58
800000;41.235
850000;40.58
900000;40.58
950004;41.235
1000004;41.235
1050004;41.89
1100004;41.235
1150004;41.235
1200004;41.235
1250004;41.89
1300004;41.89
1350004;41.235
1400004;41.235
1450004;41.235
1500004;41.235
1550004;40.58
1600004;40.58
1650004;41.235
1700004;41.235
1750004;41.89
1800004;41.235
1850004;41.89
1900004;41.89
1950004;41.235
2000004;40.58
2050004;40.58
2100004;40.58
2150004;41.235
2200004;41.235
2250004;41.235
2300004;41.89
2350004;41.235
2400004;41.235
2450004;40.58
