Time,X(CH1),
Second,Volt,
-4.0799996e-04,-0.00000e+00,
-4.0399996e-04,-7.99999e-02,
-3.9999996e-04,-7.99999e-02,
-3.9599996e-04,-0.00000e+00,
-3.9199996e-04,-0.00000e+00,
-3.8799996e-04,-7.99999e-02,
-3.8399996e-04,-0.00000e+00,
-3.7999995e-04,-7.99999e-02,
-3.7599995e-04,-7.99999e-02,
-3.7199995e-04,-0.00000e+00,
-3.6799995e-04,-0.00000e+00,
-3.6399995e-04,-7.99999e-02,
-3.5999995e-04,-0.00000e+00,
-3.5599995e-04,-7.99999e-02,
-3.5199994e-04,-7.99999e-02,
-3.4799994e-04,-0.00000e+00,
-3.4399994e-04,-0.00000e+00,
-3.3999994e-04,-7.99999e-02,
-3.3599994e-04,-0.00000e+00,
-3.3199994e-04,-7.99999e-02,
-3.2799994e-04,-0.00000e+00,
-3.2399994e-04,-7.99999e-02,
-3.1999993e-04,-7.99999e-02,
-3.1599993e-04,-0.00000e+00,
-3.1199993e-04,-0.00000e+00,
-3.0799993e-04,-7.99999e-02,
-3.0399993e-04,-7.99999e-02,
-2.9999993e-04,-0.00000e+00,
-2.9599993e-04,-0.00000e+00,
-2.9199992e-04,-7.99999e-02,
-2.8799992e-04,-0.00000e+00,
-2.8399992e-04,-7.99999e-02,
-2.7999992e-04,-0.00000e+00,
-2.7599992e-04,-7.99999e-02,
-2.7199992e-04,-7.99999e-02,
-2.6799992e-04,7.99999e-02,
-2.6399991e-04,-0.00000e+00,
-2.5999991e-04,-7.99999e-02,
-2.5599991e-04,-0.00000e+00,
-2.5199991e-04,-7.99999e-02,
-2.4799991e-04,-7.99999e-02,
-2.4399991e-04,-0.00000e+00,
-2.3999991e-04,-7.99999e-02,
-2.3599991e-04,-0.00000e+00,
-2.3199990e-04,-0.00000e+00,
-2.2799990e-04,-7.99999e-02,
-2.2399990e-04,-0.00000e+00,
-2.1999990e-04,-7.99999e-02,
-2.1599990e-04,-0.00000e+00,
-2.1199990e-04,-7.99999e-02,
-2.0799990e-04,-0.00000e+00,
-2.0399989e-04,-7.99999e-02,
-1.9999989e-04,-0.00000e+00,
-1.9599989e-04,-7.99999e-02,
-1.9199989e-04,-0.00000e+00,
-1.8799989e-04,-7.99999e-02,
-1.8399989e-04,-7.99999e-02,
-1.7999989e-04,-0.00000e+00,
-1.7599988e-04,-7.99999e-02,
-1.7199988e-04,-0.00000e+00,
-1.6799988e-04,-0.00000e+00,
-1.6399988e-04,-0.00000e+00,
-1.5999988e-04,-0.00000e+00,
-1.5599988e-04,-0.00000e+00,
-1.5199988e-04,-0.00000e+00,
-1.4799988e-04,-7.99999e-02,
-1.4399987e-04,-7.99999e-02,
-1.3999987e-04,-0.00000e+00,
-1.3599987e-04,-0.00000e+00,
-1.3199987e-04,-7.99999e-02,
-1.2799987e-04,-0.00000e+00,
-1.2399987e-04,-7.99999e-02,
-1.1999987e-04,-0.00000e+00,
-1.1599986e-04,-7.99999e-02,
-1.1199986e-04,-0.00000e+00,
-1.0799986e-04,-7.99999e-02,
-1.0399986e-04,-0.00000e+00,
-9.9999859e-05,-7.99999e-02,
-9.5999858e-05,-0.00000e+00,
-9.1999857e-05,-0.00000e+00,
-8.7999855e-05,-0.00000e+00,
-8.3999854e-05,-7.99999e-02,
-7.9999852e-05,-0.00000e+00,
-7.5999851e-05,-7.99999e-02,
-7.1999850e-05,-0.00000e+00,
-6.7999848e-05,-7.99999e-02,
-6.3999847e-05,-0.00000e+00,
-5.9999846e-05,-7.99999e-02,
-5.5999844e-05,-0.00000e+00,
-5.1999843e-05,-0.00000e+00,
-4.7999842e-05,-7.99999e-02,
-4.3999840e-05,-0.00000e+00,
-3.9999839e-05,-0.00000e+00,
-3.5999838e-05,-7.99999e-02,
-3.1999836e-05,-7.99999e-02,
-2.7999837e-05,-0.00000e+00,
-2.3999837e-05,-7.99999e-02,
-1.9999838e-05,-0.00000e+00,
-1.5999838e-05,-7.99999e-02,
-1.1999839e-05,-0.00000e+00,
-7.9998390e-06,-0.00000e+00,
-3.9998390e-06,-7.99999e-02,
1.6098056e-10,-0.00000e+00,
4.0001610e-06,1.28000e+00,
8.0001610e-06,4.16000e+00,
1.2000160e-05,7.92000e+00,
1.6000160e-05,7.60000e+00,
2.0000160e-05,6.40000e+00,
2.4000159e-05,6.32000e+00,
2.8000159e-05,5.36000e+00,
3.2000160e-05,5.20000e+00,
3.6000161e-05,4.72000e+00,
4.0000163e-05,4.64000e+00,
4.4000164e-05,4.40000e+00,
4.8000165e-05,4.40000e+00,
5.2000167e-05,4.32000e+00,
5.6000168e-05,4.48000e+00,
6.0000169e-05,4.64000e+00,
6.4000167e-05,4.72000e+00,
6.8000169e-05,5.04000e+00,
7.2000170e-05,5.04000e+00,
7.6000171e-05,5.52000e+00,
8.0000173e-05,5.60000e+00,
8.4000174e-05,6.00000e+00,
8.8000175e-05,6.00000e+00,
9.2000177e-05,6.48000e+00,
9.6000178e-05,6.56000e+00,
1.0000018e-04,6.96000e+00,
1.0400018e-04,7.04000e+00,
1.0800018e-04,7.36000e+00,
1.1200018e-04,7.44000e+00,
1.1600018e-04,7.76000e+00,
1.2000019e-04,7.84000e+00,
1.2400019e-04,8.08000e+00,
1.2800019e-04,8.16000e+00,
1.3200019e-04,8.40000e+00,
1.3600019e-04,8.48000e+00,
1.4000019e-04,8.72000e+00,
