t;w(t);pwm
0;0;0
100004;0.00;1
200008;0.00;2
300012;0.00;3
400016;0.00;4
500020;0.00;5
600028;0.00;6
700028;0.00;7
800032;0.00;8
900032;0.00;9
1000032;0.00;10
1100036;0.00;11
1200036;0.00;12
1300036;0.00;13
1400040;0.00;14
1500040;0.00;15
1600044;0.00;16
1700044;0.00;17
1800052;0.00;18
1900056;0.00;19
2000060;0.00;20
2100068;0.00;21
2200068;0.00;22
2300076;0.00;23
2400084;0.00;24
2500088;0.00;25
2600092;0.00;26
2700100;0.00;27
2800104;0.00;28
2900108;0.00;29
3000116;0.00;30
3100120;0.00;31
3200124;0.00;32
3300132;0.00;33
3400136;0.00;34
3500140;0.00;35
3600140;0.00;36
3700144;0.00;37
3800148;0.00;38
3900148;0.00;39
4000156;0.00;40
4100156;0.00;41
4200156;0.00;42
4300156;0.00;43
4400164;0.00;44
4500172;0.00;45
4600176;0.00;46
4700180;0.00;47
4800180;0.00;48
4900184;0.00;49
5000184;0.00;50
5100188;0.00;51
5200192;0.00;52
5300200;0.71;53
5400204;0.00;54
5500212;0.00;55
5600220;0.00;56
5700224;0.00;57
5800232;0.00;58
5900240;0.00;59
6000244;0.00;60
6100248;0.00;61
6200248;0.00;62
6300256;0.00;63
6400260;0.00;64
6500268;0.00;65
6600272;0.00;66
6700276;0.00;67
6800276;0.00;68
6900280;0.00;69
7000288;0.00;70
7100288;0.00;71
7200292;0.00;72
7300296;0.00;73
7400296;0.00;74
7500300;0.00;75
7600300;0.00;76
7700308;0.00;77
7800316;0.00;78
7900320;0.00;79
8000320;0.00;80
8100324;0.00;81
8200328;0.00;82
8300336;0.00;83
8400340;0.00;84
8500344;0.00;85
8600344;0.00;86
8700348;0.00;87
8800356;0.00;88
8900364;0.00;89
9000364;12.08;90
9100364;34.10;91
9200372;49.02;92
9300376;58.96;93
9400380;66.78;94
9500384;73.17;95
9600388;78.15;96
9700392;80.99;97
9800400;83.12;98
9900404;85.25;99
10000408;87.38;100
10100412;88.09;101
10200412;89.51;102
10300412;90.93;103
10400420;92.35;104
10500424;94.49;105
10600428;94.49;106
10700428;95.91;107
10800436;96.62;108
10900440;97.33;109
11000440;97.33;110
11100444;98.04;111
11200444;98.75;112
11300448;99.46;113
11400452;99.46;114
11500452;100.88;115
11600460;101.59;116
11700460;102.30;117
11800464;103.01;118
11900468;105.14;119
12000468;104.43;120
12100472;104.43;121
12200472;105.85;122
12300480;105.14;123
12400484;105.85;124
12500488;107.27;125
12600492;107.98;126
12700492;107.27;127
12800496;107.98;128
12900496;108.69;129
13000500;109.40;130
13100504;109.40;131
13200504;110.82;132
13300512;110.82;133
13400512;112.25;134
13500512;111.54;135
13600512;112.25;136
13700516;112.25;137
13800516;113.67;138
13900520;113.67;139
14000524;115.09;140
14100528;115.09;141
14200536;114.38;142
14300536;115.80;143
14400540;115.80;144
14500544;116.51;145
14600544;116.51;146
14700556;116.51;147
14800556;117.93;148
14900560;117.93;149
15000560;117.22;150
15100560;117.93;151
15200560;118.64;152
15300568;119.35;153
15400568;119.35;154
15500576;119.35;155
15600584;120.06;156
15700588;120.06;157
15800588;119.35;158
15900592;120.77;159
16000600;120.77;160
16100604;121.48;161
16200604;122.19;162
16300612;121.48;163
16400612;122.90;164
16500616;122.90;165
16600620;122.90;166
16700628;123.61;167
16800628;123.61;168
16900632;124.32;169
17000636;123.61;170
17100636;124.32;171
17200640;125.03;172
17300640;125.03;173
17400648;125.74;174
17500656;125.74;175
17600664;125.03;176
17700668;126.45;177
17800668;127.16;178
17900668;127.16;179
18000668;127.16;180
18100672;127.16;181
18200676;127.16;182
18300684;128.59;183
18400692;127.87;184
18500692;127.87;185
18600696;128.59;186
18700704;129.30;187
18800712;128.59;188
18900712;129.30;189
19000716;129.30;190
19100724;129.30;191
19200732;130.72;192
19300732;130.72;193
19400732;130.01;194
19500736;130.72;195
19600744;130.72;196
19700748;130.72;197
19800756;130.72;198
19900760;131.43;199
20000760;130.72;200
20100768;131.43;201
20200768;132.14;202
20300768;130.72;203
20400772;132.14;204
20500780;132.14;205
20600788;132.14;206
20700792;132.85;207
20800796;132.14;208
20900796;132.14;209
21000804;133.56;210
21100804;133.56;211
21200804;133.56;212
21300808;133.56;213
21400812;134.27;214
21500812;134.27;215
21600820;134.98;216
21700824;134.98;217
21800824;134.98;218
21900832;135.69;219
22000832;136.40;220
22100832;134.98;221
22200832;135.69;222
22300836;135.69;223
22400844;135.69;224
22500844;135.69;225
22600844;135.69;226
22700852;135.69;227
22800860;136.40;228
22900864;135.69;229
23000872;135.69;230
23100876;135.69;231
23200884;136.40;232
23300884;136.40;233
23400888;137.11;234
23500888;134.98;235
23600888;136.40;236
23700892;134.98;237
23800900;136.40;238
23900908;135.69;239
24000908;135.69;240
24100908;136.40;241
24200916;137.11;242
24300916;137.82;243
24400920;137.82;244
24500928;138.53;245
24600928;139.24;246
24700940;139.24;247
24800940;141.37;248
24900940;142.79;249
25000940;143.50;250
25100944;144.93;251
25200948;147.06;252
25300948;146.35;253
25400956;147.77;254
25500968;147.06;255
