t;w(t);pwm
0;0;0
100028;0.00;5.00
200040;0.00;10.00
300040;0.00;15.00
400080;0.00;20.00
500108;0.00;25.00
600160;0.00;30.00
700212;0.00;35.00
800228;0.00;40.00
900232;0.00;45.00
1000244;0.00;51.00
1100272;0.00;56.00
1200272;0.00;61.00
1300320;0.00;66.00
1400328;0.00;71.00
1500328;0.00;76.00
1600372;0.00;81.00
1700408;0.65;86.00
1800432;0.00;91.00
1900468;0.00;96.00
2000472;1.96;102.00
2100472;21.60;107.00
2200472;35.34;112.00
2300504;45.81;117.00
2400548;54.32;122.00
2500560;60.87;127.00
2600560;66.10;132.00
2700584;69.38;137.00
2800612;72.65;142.00
2900624;77.23;147.00
3000624;78.54;153.00
3100660;80.50;158.00
3200672;82.47;163.00
3300700;83.78;168.00
3400760;85.74;173.00
3500776;88.36;178.00
3600800;88.36;183.00
3700848;89.01;188.00
3800884;90.32;193.00
3900932;91.63;198.00
4000956;92.28;204.00
4100996;93.59;209.00
4201004;94.90;214.00
4301040;95.56;219.00
4401084;96.87;224.00
4501104;98.17;229.00
4601104;98.17;234.00
4701148;96.87;239.00
4801168;98.17;244.00
4901216;100.79;249.00
5001276;103.41;255.00
